b,f,bytes,events,fragments,seek_ns,make_ns,apply_ns,typed_p50_ns,typed_p99_ns,typed_max_ns,back_p50_ns,back_p99_ns,report_ns,replay_ms,from_walk_ms,move_us,append_us
8,32,20000,7002,7045,83,458,21875,22458,71834,115750,55000,128333,83,6.0,5.0,6187,263
8,32,20000,7002,7045,83,458,22000,22542,68084,130417,55042,117791,83,5.8,4.9,6332,306
8,32,20000,7002,7045,83,459,21958,22542,68416,112708,55208,123834,83,5.9,5.0,7138,288
8,32,200000,7002,12720,83,500,22709,23292,76750,117166,58500,130459,84,22.8,12.0,30790,271
8,32,200000,7002,12720,83,500,22625,23167,72125,99833,58499,129958,84,22.4,12.1,31385,275
8,32,200000,7002,12720,84,500,22625,23209,72416,85542,58625,132208,84,22.1,12.2,30708,273
8,32,2000000,7002,68824,83,542,29792,30459,93792,149416,74250,172792,84,181.6,86.8,276986,290
8,32,2000000,7002,68824,83,542,30166,30791,96834,231250,75792,181958,84,327.4,88.8,277521,273
8,32,2000000,7002,68824,83,541,29750,30416,96250,160375,74917,171041,84,185.2,84.9,275466,273
8,128,20000,7002,6589,84,500,22708,23293,233292,1360292,59000,321458,84,7.8,10.0,8090,284
8,128,20000,7002,6589,83,458,21459,22041,72125,147333,53834,133375,83,6.2,5.6,6868,287
8,128,20000,7002,6589,83,458,21333,21875,74207,112625,54791,126916,83,5.9,5.7,6513,273
8,128,200000,7002,8053,84,459,22375,22916,77167,220542,56750,127084,84,23.5,14.3,32511,271
8,128,200000,7002,8053,84,458,22083,22625,69084,99292,56333,119584,84,23.0,13.4,32444,268
8,128,200000,7002,8053,84,458,22000,22542,66958,74459,55875,116958,84,22.5,13.3,31291,270
8,128,2000000,7002,22088,83,500,24792,25334,74834,88666,62417,138416,84,181.8,95.6,282112,262
8,128,2000000,7002,22088,83,500,24750,25334,75083,86459,62250,141376,84,182.4,95.4,282872,262
8,128,2000000,7002,22088,83,500,24458,25082,74375,82584,61875,138209,84,183.2,93.7,285621,261
8,512,20000,7002,6474,83,458,21041,21542,63625,75750,53333,109791,83,5.6,5.0,5907,264
