b,f,bytes,events,fragments,seek_ns,make_ns,apply_ns,typed_p50_ns,typed_p99_ns,typed_max_ns,back_p50_ns,back_p99_ns,report_ns,replay_ms,from_walk_ms,move_us,append_us
8,32,20000,7002,7045,42,208,5541,5793,21459,31042,10959,33791,42,5.9,4.8,5912,276
8,32,20000,7002,7045,42,208,5417,5708,19374,23458,10667,30374,42,5.7,4.7,5513,260
8,32,20000,7002,7045,42,208,5375,5626,18583,27209,10542,29958,42,5.7,4.6,5539,276
8,32,200000,7002,12720,42,208,5959,6209,21876,78291,11457,32666,42,24.1,12.4,35688,276
8,32,200000,7002,12720,42,208,5833,6083,19458,24708,11083,31542,42,22.7,11.5,29605,266
8,32,200000,7002,12720,42,208,5792,6042,20375,52917,11125,32791,42,23.9,12.4,32690,269
8,32,2000000,7002,68824,42,208,6167,6458,22917,27374,12042,35374,42,184.4,83.5,276052,269
8,32,2000000,7002,68824,83,209,6417,6708,25542,219416,12667,65208,42,197.4,83.8,277307,267
8,32,2000000,7002,68824,42,208,6167,6458,20917,27709,12000,34125,42,184.5,84.6,273516,281
8,128,20000,7002,6589,42,208,5500,5791,20458,24833,10792,31792,42,5.7,4.8,6089,265
8,128,20000,7002,6589,42,208,5417,5708,19792,27208,10709,30833,42,5.9,5.0,5849,268
8,128,20000,7002,6589,42,208,5417,5708,19916,39458,10791,30791,42,5.7,4.9,5886,263
8,128,200000,7002,8053,42,208,5375,5625,19707,21375,10500,31291,42,22.7,13.2,32396,271
8,128,200000,7002,8053,42,208,5375,5625,20084,23332,10499,31792,42,23.1,13.4,32586,273
8,128,200000,7002,8053,42,208,5375,5625,20126,22416,10500,31584,42,22.7,13.3,32484,267
8,128,2000000,7002,22088,42,208,6041,6291,20750,24334,11417,32916,42,187.8,96.4,288787,276
8,128,2000000,7002,22088,42,208,6084,6374,23667,40334,11584,35833,42,201.6,236.7,287508,267
8,128,2000000,7002,22088,42,208,5959,6250,20625,22292,11376,32584,42,189.5,97.0,286081,277
8,512,20000,7002,6474,42,208,5458,5709,20041,22750,10751,30834,42,6.1,5.0,6060,275
8,512,20000,7002,6474,42,208,5542,5833,20876,23875,11041,31750,42,6.1,5.0,6046,271
8,512,20000,7002,6474,42,208,5458,5709,20042,25291,10792,30833,42,6.0,5.1,6075,271
8,512,200000,7002,6888,42,167,5375,5584,21333,24875,10416,33626,42,23.3,15.7,35115,271
8,512,200000,7002,6888,42,167,5334,5584,21667,24292,10416,32500,42,22.9,15.9,33375,274
8,512,200000,7002,6888,42,167,5250,5500,19416,20792,10250,29958,42,21.6,15.3,33195,273
8,512,2000000,7002,10404,42,167,5625,5874,20917,23792,10667,31959,42,187.6,122.2,305818,266
8,512,2000000,7002,10404,42,167,5625,5834,20667,23501,10708,32042,42,187.0,120.3,304807,269
8,512,2000000,7002,10404,42,167,5625,5834,20791,23458,10666,32500,42,185.7,121.6,303580,264
16,32,20000,7002,7045,42,250,6333,6667,20709,24792,12542,33209,42,5.8,4.6,5417,260
16,32,20000,7002,7045,42,209,5833,6125,18459,21666,11375,30751,42,5.6,4.5,5433,261
16,32,20000,7002,7045,42,209,5833,6125,18457,25126,11375,30166,42,5.5,4.5,5415,264
16,32,200000,7002,12720,42,209,5916,6208,19625,121334,11707,31125,42,21.8,11.7,29450,266
16,32,200000,7002,12720,83,250,5917,6209,18917,22625,11709,30584,42,22.3,11.5,31417,260
16,32,200000,7002,12720,42,209,5875,6207,19125,22458,11667,31000,42,22.2,11.7,29377,260
16,32,2000000,7002,68824,83,250,6833,7167,22333,23792,13624,35624,83,188.0,82.3,269607,262
16,32,2000000,7002,68824,83,250,6833,7167,22333,24750,13584,35875,83,186.3,80.9,270680,272
16,32,2000000,7002,68824,83,250,6833,7168,22666,26792,13584,36167,83,190.2,82.6,271811,270
16,128,20000,7002,6589,83,250,6459,6833,203249,3388292,13292,276208,42,10.8,10.3,28213,535
16,128,20000,7002,6589,83,291,6500,6916,81833,227042,13250,112625,83,15.5,16.4,57177,336
16,128,20000,7002,6589,42,250,6291,6584,206791,26164125,12625,2599624,42,7.3,7.0,11927,317
16,128,200000,7002,8053,42,209,5917,6208,22667,51208,11666,33916,42,25.3,15.2,36276,286
16,128,200000,7002,8053,42,209,5916,6167,22500,43084,11624,34458,42,25.1,13.5,34165,294
16,128,200000,7002,8053,42,209,6000,6251,24791,363042,11833,46417,42,24.9,14.6,34410,302
16,128,2000000,7002,22088,83,250,6375,6708,64334,1049417,12833,75083,83,206.4,101.8,295147,276
16,128,2000000,7002,22088,83,250,6167,6500,21251,24499,12209,34375,83,192.3,98.6,287391,265
16,128,2000000,7002,22088,83,250,6000,6293,19792,22750,11958,32251,83,181.6,93.4,283821,260
16,512,20000,7002,6474,42,209,6083,6376,19709,24417,11957,32375,42,6.0,4.9,5607,273
16,512,20000,7002,6474,42,209,6041,6374,20417,62792,11875,32041,42,5.7,4.8,5679,286
16,512,20000,7002,6474,42,209,5917,6249,19917,55458,11625,32334,42,5.7,4.8,5732,268
16,512,200000,7002,6888,42,208,5833,6083,21501,26458,11208,32541,42,23.3,16.3,34759,289
